Name,Collection,Type,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Vitamin B6,diets,Type 2,[946234] Flavonifractor (-0.0663),[33039] [Ruminococcus] torques (-0.0663),[169435] Anaerotruncus colihominis (-0.0663),[1550024] Ruthenibacterium lactatiformans (-0.0663),[333367] Enterocloster asparagiformis (-0.0663),[154046] Hungatella hathewayi (-0.0663),[1945593] Oscillibacter sp. (-0.0663),[78346] Bifidobacterium ruminantium (0.0663),[538999] Eubacteriales incertae sedis (-0.0663),[200643] Bacteroidia (-0.0179),[1239] Bacillota (0.0133),[95818] Candidatus Saccharibacteria (0.0107),[1224] Pseudomonadota (0.0107),[1117] Cyanobacteriota (0.0107),[201174] Actinomycetota (0.0107),[39948] Dialister (-0.0072),[39488] Anaerobutyricum hallii (-0.0041),,,,,,,,,,,,,
Mediterranean Diet,diets,Type 1,[165179] Segatella copri (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Lactococcus Plantarum_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phytates,diets,Type 2,[1263] Ruminococcus (0.0),[186802] Eubacteriales (0.0),[216851] Faecalibacterium (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Fruit,diets,Type 2,[61171] Holdemania filiformis (-0.0103),[40545] Sutterella wadsworthensis (0.0103),[46506] Bacteroides stercoris (-0.0103),[1653434] Sellimonas intestinalis (-0.0103),[853] Faecalibacterium prausnitzii (0.0103),[301301] Roseburia hominis (0.0103),[160404] Anaerotignum lactatifermentans (-0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[35493] Streptophyta (0.0103),,,,,,,,,,,,,,,,,,,,,
Vitamin B5,diets,Type 2,[1239] Bacillota (0.0107),[200643] Bacteroidia (-0.0107),[95818] Candidatus Saccharibacteria (0.0107),[1117] Cyanobacteriota (-0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (0.0107),[39948] Dialister (0.0072),,,,,,,,,,,,,,,,,,,,,,,
Meat,diets,Type 2,[572511] Blautia (-0.0167),[418240] Blautia wexlerae (-0.0167),[28052] Lachnospira pectinoschiza (0.0103),[35493] Streptophyta (0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[1263] Ruminococcus (0.0),,,,,,,,,,,,,,,,,,,,,,,,
Tapioca,diets,Type 2,[1924109] Eisenbergiella sp. (0.0),[853] Faecalibacterium prausnitzii (0.0),[47246] [Clostridium] viride (-0.0),[1869337] Parabacteroides sp. (0.0),[823] Parabacteroides distasonis (0.0),[39488] Anaerobutyricum hallii (-0.0),[171551] Porphyromonadaceae (0.0),[216572] Oscillospiraceae (-0.0),[375288] Parabacteroides (0.0),,,,,,,,,,,,,,,,,,,,,
Vegan Diet,diets,Type 2,[853] Faecalibacterium prausnitzii (0.0206),[39948] Dialister (0.0113),[572511] Blautia (0.0113),[1678] Bifidobacterium (-0.0113),[189330] Dorea (0.0113),[33024] Phascolarctobacterium (0.0113),[239934] Akkermansia (-0.0113),[841] Roseburia (-0.0113),[239759] Alistipes (0.0113),[1485] Clostridium (-0.0113),,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Bifidobacterium Bifidum_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pectin,diets,Type 2,[28216] Betaproteobacteria (-0.0087),[191303] Turicibacter (0.0087),[1263] Ruminococcus (0.0087),[909930] Acidaminococcaceae (0.0087),[40544] Sutterella (-0.0087),[33958] Lactobacillaceae (-0.0087),[506] Alcaligenaceae (0.0087),[1485] Clostridium (-0.0001),[1678] Bifidobacterium (0.0001),[1578] Lactobacillus (0.0001),,,,,,,,,,,,,,,,,,,,
Bean Products,diets,Type 2,[397864] Barnesiella (-0.0036),[216851] Faecalibacterium (-0.0036),[1283313] Alloprevotella (-0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin C Supplementation,diets,Type 2,[1898203] Lachnospiraceae bacterium (-0.0325),[186803] Lachnospiraceae (0.03),[745368] Gemmiger formicilis (-0.0269),[200643] Bacteroidia (-0.0269),[1350] Enterococcus (-0.0269),[31953] Bifidobacteriaceae (0.0031),[1680] Bifidobacterium adolescentis (0.0031),[487174] Barnesiella intestinihominis (0.0031),[74426] Collinsella aerofaciens (0.0031),[816] Bacteroides (-0.0),[1239] Bacillota (0.0),,,,,,,,,,,,,,,,,,,
High Step Count,lifestyles,Type 2,[35493] Streptophyta (0.0147),[244127] Anaerotruncus (-0.0147),[100883] Coprobacillus (-0.0147),[180162] Cetobacterium (0.0147),[239759] Alistipes (-0.0147),[216851] Faecalibacterium (0.0147),[838] Prevotella (0.0147),[186807] Peptococcaceae (0.0147),[1485] Clostridium (0.0147),[28050] Lachnospira (0.0147),[186803] Lachnospiraceae (0.0147),[906] Megasphaera (-0.0147),[447020] Adlercreutzia (-0.0147),[84111] Eggerthella (-0.0147),,,,,,,,,,,,,,,,
Probiotics Containing _Lactococcus Cremoris_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capsaicin Supplementation,diets,Type 2,[216572] Oscillospiraceae (0.0112),[1239] Bacillota (0.0112),[186803] Lachnospiraceae (-0.0112),[216851] Faecalibacterium (0.0112),[200643] Bacteroidia (-0.0112),,,,,,,,,,,,,,,,,,,,,,,,,
Meat-Rich Diet,diets,Type 2,[28050] Lachnospira (0.0036),[2383] Candidatus Epulonipiscium (-0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fats And Oils,diets,Type 2,[213849] Campylobacterales (0.0097),[72294] Campylobacteraceae (0.0097),[Pathogen] Campylobacter (0.0097),[387090] Phocaeicola coprophilus (0.0097),[3031852] Epsilonproteobacteria (0.0097),,,,,,,,,,,,,,,,,,,,,,,,,
Kiwifruit Capsules,diets,Type 2,[2049040] Roseburia sp. (-0.0032),[216572] Oscillospiraceae (0.0032),[853] Faecalibacterium prausnitzii (0.0032),[171549] Bacteroidales (-0.0032),[189330] Dorea (0.0032),[239934] Akkermansia (0.0032),,,,,,,,,,,,,,,,,,,,,,,,
Animal Protein,diets,Type 2,[821] Phocaeicola vulgatus (0.1479),[724] Haemophilus (0.0),[841] Roseburia (0.0),[375288] Parabacteroides (-0.0),[200643] Bacteroidia (-0.0),[33024] Phascolarctobacterium (-0.0),[580596] Butyricicoccus (-0.0),,,,,,,,,,,,,,,,,,,,,,,
Beef,diets,Type 2,[2383] Candidatus Epulonipiscium (-0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Ligilactobacillus Salivarius_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginseng,diets,Type 2,[207244] Anaerostipes (-0.017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turmeric,diets,Type 2,[28117] Alistipes putredinis (0.0),[1432052] Eisenbergiella tayi (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomegranate Extract,diets,Type 2,[85004] Bifidobacteriales (0.0157),[1647175] Aestuariispira (0.0157),[241189] Hespellia (0.0157),[201174] Actinomycetota (0.0157),[186817] Bacillaceae (-0.0157),[52018] unclassified Actinomycetes (0.0157),[1678] Bifidobacterium (0.0157),[72763] Tessaracoccus (0.0157),[46255] Weissella (-0.0157),[31953] Bifidobacteriaceae (0.0157),[1357] Lactococcus (0.0157),[580596] Butyricicoccus (0.0157),[574697] Butyricimonas (0.0157),[2316] Methanosphaera (-0.0157),[2172] Methanobrevibacter (-0.0157),[283168] Odoribacter (0.0157),[216851] Faecalibacterium (0.0157),[816] Bacteroides (0.0157),[543311] Parvimonas (-0.0157),[Probiotic] Akkermansia muciniphila (0.0069),,,,,,,,,,
Chicken,diets,Type 2,[39948] Dialister (0.0102),[1578] Lactobacillus (0.0102),[133925] Olsenella (0.0102),[1239] Bacillota (-0.0102),[171549] Bacteroidales (0.0102),[200643] Bacteroidia (0.0102),[171552] Prevotellaceae (0.0102),,,,,,,,,,,,,,,,,,,,,,,
Magnesium Supplementation,diets,Type 2,[116085] Coprococcus catus (0.0224),[28127] Hoylesella buccalis (0.0224),[165179] Segatella copri (0.0224),[638849] Pyramidobacter piscolens (0.0224),[100886] Catenibacterium mitsuokai (0.0224),[40520] Blautia obeum (0.0224),[39486] Dorea formicigenerans (0.0224),[39496] Eubacterium ventriosum (0.0224),[89153] [Clostridium] hylemonae (0.0224),,,,,,,,,,,,,,,,,,,,,
Vitamin B1,diets,Type 2,[404402] Howardella (0.0325),[216572] Oscillospiraceae (0.0206),[95818] Candidatus Saccharibacteria (0.0107),[1117] Cyanobacteriota (-0.0107),[1239] Bacillota (0.0107),[201174] Actinomycetota (0.0107),[186803] Lachnospiraceae (0.0),[158846] Megamonas (0.0),,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Heyndrickxia Coagulans_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistant Starch Supplementation,diets,Type 2,[1678] Bifidobacterium (0.0224),[665950] Lachnospiraceae bacterium 3_1_46FAA (-0.0),[329854] Bacteroides intestinalis (-0.0),[2648737] unclassified Eggerthella (-0.0),[301301] Roseburia hominis (-0.0),[562] Escherichia coli (-0.0),[61171] Holdemania filiformis (-0.0),[2626256] unclassified Megasphaera (-0.0),[46506] Bacteroides stercoris (-0.0),[166486] Roseburia intestinalis (-0.0),[291644] Bacteroides salyersiae (-0.0),[47678] Bacteroides caccae (-0.0),[626932] Alistipes indistinctus (-0.0),[40518] Ruminococcus bromii (0.0),[2637685] unclassified Holdemania (-0.0),[358743] Enterocloster citroniae (-0.0),[515620] [Eubacterium] eligens ATCC 27750 (-0.0),[165179] Segatella copri (0.0),[46503] Parabacteroides merdae (-0.0),,,,,,,,,,,
Protein,diets,Type 2,[2172] Methanobrevibacter (0.1018),[1224] Pseudomonadota (-0.0912),[404402] Howardella (0.0325),[186928] unclassified Lachnospiraceae (0.0325),[31977] Veillonellaceae (0.0143),[1643826] Eggerthellaceae (0.0143),[239934] Akkermansia (0.0143),[1649459] Hungatella (0.0112),[1117] Cyanobacteriota (0.0107),[201174] Actinomycetota (0.0107),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[200643] Bacteroidia (-0.0107),[28050] Lachnospira (-0.0041),[1926667] Ihubacter (-0.0001),[724] Haemophilus (0.0),[841] Roseburia (0.0),[189330] Dorea (0.0),[119852] Oscillospira (-0.0),[574697] Butyricimonas (-0.0),[375288] Parabacteroides (-0.0),,,,,,,,,
Milk,diets,Type 2,[821] Phocaeicola vulgatus (0.1479),[1578] Lactobacillus (0.0325),[1224] Pseudomonadota (0.0325),[838] Prevotella (-0.0325),[841] Roseburia (0.0325),[46506] Bacteroides stercoris (-0.0167),[1301] Streptococcus (0.0167),[Probiotic] Streptococcus salivarius (0.0167),,,,,,,,,,,,,,,,,,,,,,
Green-Mediterranean Diet,diets,Type 2,[1678] Bifidobacterium (-0.0),[838] Prevotella (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fructans,diets,Type 2,[1678] Bifidobacterium (0.0058),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Weissella Cibaria_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango,diets,Type 2,[165179] Segatella copri (-0.0066),[439703] Segatella maculosa (0.0066),[598660] Corynebacterium pyruviciproducens (0.0066),[35519] Mogibacterium timidum (0.0066),,,,,,,,,,,,,,,,,,,,,,,,,,
Potassium,diets,Type 2,[171549] Bacteroidales (-0.0223),[200643] Bacteroidia (-0.0117),[1224] Pseudomonadota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[1117] Cyanobacteriota (0.0107),[201174] Actinomycetota (0.0107),[1239] Bacillota (0.0107),[40545] Sutterella wadsworthensis (0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[35493] Streptophyta (0.0103),,,,,,,,,,,,,,,,,,,,
Aerobic Exercise,lifestyles,Type 2,[216572] Oscillospiraceae (0.2964),[1239] Bacillota (0.1852),[29465] Veillonella (0.1802),[724] Haemophilus (0.1802),[712] Pasteurellaceae (0.1802),[1578] Lactobacillus (0.179),[33958] Lactobacillaceae (0.179),[1647988] Akkermansiaceae (0.179),[83763] Succinivibrionaceae (0.179),[83770] Succinivibrio (0.179),[239934] Akkermansia (0.1578),[200643] Bacteroidia (-0.1538),[203691] Spirochaetota (0.1476),[31979] Clostridiaceae (0.1476),[563835] Chitinophagaceae (0.1476),[1485] Clostridium (0.1476),[469] Acinetobacter (0.1476),[213483] Pseudobdellovibrionaceae (0.1476),[404402] Howardella (0.1476),[61170] Holdemania (0.1476),[649460] Filimonas (0.1476),[102106] Collinsella (0.1476),[1411023] unclassified Peptostreptococcaceae (0.1476),[157] Treponema (0.1476),[33024] Phascolarctobacterium (0.1476),[204428] Chlamydiota (0.1476),[186807] Peptococcaceae (0.1476),[112] Planctomycetales (0.1476),[32061] Chloroflexia (0.1476),[31977] Veillonellaceae (0.1476)
Fruit And Vegetable Supplementation,diets,Type 2,[140625] Lachnobacterium (-0.0),[1263] Ruminococcus (-0.0),[186826] Lactobacillales (0.0),[1228827] Influenza A virus) (-0.0),[216851] Faecalibacterium (0.0),,,,,,,,,,,,,,,,,,,,,,,,,
Mediterranean Diet,diets,Type 2,[853] Faecalibacterium prausnitzii (0.2989),[841] Roseburia (0.1588),[838] Prevotella (0.157),[1239] Bacillota (0.1478),[46503] Parabacteroides merdae (-0.1476),[33039] [Ruminococcus] torques (-0.1476),[292800] Flavonifractor plautii (-0.1476),[33038] Mediterraneibacter gnavus (-0.1476),[Probiotic] Streptococcus thermophilus (-0.1476),[1550024] Ruthenibacterium lactatiformans (-0.1476),[186803] Lachnospiraceae (0.1476),[216572] Oscillospiraceae (0.1177),[31979] Clostridiaceae (0.1177),[39496] Eubacterium ventriosum (-0.1177),[823] Parabacteroides distasonis (0.0298),[1357] Lactococcus (0.0205),[1578] Lactobacillus (0.0205),[207244] Anaerostipes (0.0204),[649756] Anaerostipes hadrus (0.0204),[2048137] Agathobaculum (0.0204),[1628085] Agathobaculum butyriciproducens (0.0204),[816] Bacteroides (-0.0204),[818] Bacteroides thetaiotaomicron (0.0186),[1680] Bifidobacterium adolescentis (0.0186),[Probiotic] Bifidobacterium longum (0.0186),[171550] Rikenellaceae (-0.0164),[189330] Dorea (-0.0164),[180162] Cetobacterium (0.0164),[102106] Collinsella (-0.0164),[100883] Coprobacillus (-0.0164)
Partially Hydrolyzed Guar Gum Supplementation,diets,Type 2,[1263] Ruminococcus (0.0409),[1678] Bifidobacterium (0.0205),[33024] Phascolarctobacterium (-0.0205),[906] Megasphaera (0.0205),[1407607] Fusicatenibacter (0.0204),[572511] Blautia (-0.0204),[216851] Faecalibacterium (0.0204),[841] Roseburia (-0.0204),[186803] Lachnospiraceae (-0.0204),[41200] Bifidobacterium sp. (0.0078),[1485] Clostridium (-0.0006),[816] Bacteroides (-0.0),[1769710] Sellimonas (0.0),[2039302] Monoglobus (-0.0),[189330] Dorea (-0.0),[577309] Paraprevotella (0.0),[872] Desulfovibrio (0.0),[200940] Thermodesulfobacteriota (0.0),[33039] [Ruminococcus] torques (-0.0),,,,,,,,,,,
Cellulose,diets,Type 2,[186803] Lachnospiraceae (0.0761),[2049040] Roseburia sp. (0.066),[41978] Ruminococcus sp. (-0.066),[853] Faecalibacterium prausnitzii (-0.066),[1591] Lactobacillus sp. (0.0111),[186802] Eubacteriales (0.0101),[191303] Turicibacter (0.0101),[1263] Ruminococcus (0.0101),,,,,,,,,,,,,,,,,,,,,,
Gluten-Free Diet,diets,Type 2,[1678] Bifidobacterium (-0.1557),[418240] Blautia wexlerae (-0.1174),[39488] Anaerobutyricum hallii (-0.1174),[189330] Dorea (-0.1174),[88431] Dorea longicatena (-0.1174),[1578] Lactobacillus (-0.0383),[816] Bacteroides (-0.0325),[39491] Agathobacter rectalis (-0.0325),[1537] Romboutsia lituseburensis (-0.0325),[1498] Hathewaya histolytica (-0.0325),[1532] Blautia coccoides (-0.0325),[838] Prevotella (-0.0325),[853] Faecalibacterium prausnitzii (-0.0325),[1380] Atopobium (-0.0325),[562] Escherichia coli (-0.0267),[815] Bacteroidaceae (0.0223),[186803] Lachnospiraceae (-0.0223),[543] Enterobacteriaceae (0.0058),[Probiotic] Bifidobacterium longum (-0.0058),[Probiotic] Bifidobacterium bifidum (0.0),[255528] Victivallaceae (0.0),[84107] Coriobacteriaceae (0.0),[31979] Clostridiaceae (0.0),[301302] Roseburia faecis (-0.0),[33038] Mediterraneibacter gnavus (-0.0),[31977] Veillonellaceae (-0.0),[84108] Slackia (0.0),,,
Probiotics Containing _Bifidobacterium Longum_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-Spiced Diet,diets,Type 2,[216572] Oscillospiraceae (0.0072),[171550] Rikenellaceae (0.0072),[1263] Ruminococcus (0.0072),[216851] Faecalibacterium (0.0072),,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin B12,diets,Type 2,[84108] Slackia (0.0325),[1588752] unclassified Coriobacteriales (0.0325),[216572] Oscillospiraceae (0.0325),[95818] Candidatus Saccharibacteria (0.0107),[1224] Pseudomonadota (0.0107),[1117] Cyanobacteriota (0.0107),[201174] Actinomycetota (-0.0107),[816] Bacteroides (-0.0072),[838] Prevotella (0.0072),[28050] Lachnospira (-0.0041),[Probiotic] Akkermansia muciniphila (-0.0002),[29523] Bacteroides sp. (0.0002),[418240] Blautia wexlerae (-0.0002),[74201] Verrucomicrobiota (-0.0002),[630129] Bifidobacterium catenulatum subsp. kashiwanohense (-0.0002),[848] Fusobacterium (0.0),[543] Enterobacteriaceae (-0.0),[469] Acinetobacter (0.0),,,,,,,,,,,,
Vitamin C,diets,Type 2,[200643] Bacteroidia (-0.0386),[1898203] Lachnospiraceae bacterium (-0.0325),[186803] Lachnospiraceae (0.03),[745368] Gemmiger formicilis (-0.0269),[1350] Enterococcus (-0.0269),[816] Bacteroides (-0.0223),[171549] Bacteroidales (-0.0223),[815] Bacteroidaceae (-0.0223),[95818] Candidatus Saccharibacteria (0.0107),[1224] Pseudomonadota (0.0107),[1117] Cyanobacteriota (-0.0107),[201174] Actinomycetota (0.0107),[160404] Anaerotignum lactatifermentans (-0.0103),[572511] Blautia (-0.0063),[33042] Coprococcus (0.0036),[1680] Bifidobacterium adolescentis (0.0031),[74426] Collinsella aerofaciens (0.0031),[487174] Barnesiella intestinihominis (0.0031),[31953] Bifidobacteriaceae (0.0031),[186802] Eubacteriales (0.0),[1678] Bifidobacterium (0.0),[1239] Bacillota (0.0),,,,,,,,
Psyllium Supplementation,diets,Type 2,[29465] Veillonella (0.0178),[292632] Subdoligranulum (-0.0178),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant-Based Diet,diets,Type 2,[39948] Dialister (0.0206),[239759] Alistipes (0.0206),[Pathogen] Clostridioides difficile (0.0206),[816] Bacteroides (0.0206),[838] Prevotella (0.0206),[39491] Agathobacter rectalis (0.0206),[375288] Parabacteroides (0.0206),[853] Faecalibacterium prausnitzii (0.0206),[1735] Holdemanella biformis (0.0206),[119853] Oscillospira guilliermondii (0.0206),,,,,,,,,,,,,,,,,,,,
Fermented Soy Milk,diets,Type 2,[41200] Bifidobacterium sp. (0.0),[1591] Lactobacillus sp. (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specific Carbohydrate Diet,diets,Type 2,[201174] Actinomycetota (-0.0026),[42895] Enterobacter sp. (0.0),[861] Fusobacterium ulcerans (-0.0),[1884818] Escherichia sp. (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,
Raspberries,diets,Type 2,[33038] Mediterraneibacter gnavus (-0.0072),[Probiotic] Streptococcus thermophilus (-0.0072),[1643826] Eggerthellaceae (0.0072),[31979] Clostridiaceae (0.0072),[841] Roseburia (0.0072),[39485] Lachnospira eligens (0.0072),,,,,,,,,,,,,,,,,,,,,,,,
Vegetables,diets,Type 2,[74426] Collinsella aerofaciens (-0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[292800] Flavonifractor plautii (-0.0103),[1407607] Fusicatenibacter (-0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Limosilactobacillus Reuteri_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermented Dairy,diets,Type 2,[158846] Megamonas (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saccharides,diets,Type 2,[201174] Actinomycetota (-0.1018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-Fat/Low-Fiber Diet,diets,Type 2,[816] Bacteroides (0.114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inulin-Type Fructans,diets,Type 2,[1678] Bifidobacterium (0.2511),[201174] Actinomycetota (0.1805),[329854] Bacteroides intestinalis (-0.1586),[1743] Propionibacterium (-0.1475),[Probiotic] Lactobacillus gasseri (0.1475),[200643] Bacteroidia (-0.1475),[853] Faecalibacterium prausnitzii (0.1475),[821] Phocaeicola vulgatus (-0.1475),[1239] Bacillota (0.1306),[31953] Bifidobacteriaceae (0.0597),[216851] Faecalibacterium (0.0325),[216572] Oscillospiraceae (0.0325),[186802] Eubacteriales (0.0268),[28026] Bifidobacterium pseudocatenulatum (0.0223),[1680] Bifidobacterium adolescentis (0.0223),[Probiotic] Bifidobacterium longum (0.0223),[189330] Dorea (-0.0219),[186803] Lachnospiraceae (0.0214),[1654] Actinomyces (0.0161),[1268] Micrococcaceae (0.0161),[2049] Actinomycetaceae (0.0161),[57494] Nesterenkonia (0.0161),[544447] unclassified Erysipelotrichaceae (0.0157),[194924] Desulfovibrionaceae (-0.0157),[2676048] Schaedlerella (0.0157),[35829] Acetivibrio (0.0157),[665942] Desulfovibrio sp. 6_1_46AFAA (-0.0157),[674963] Succinatimonas (0.0157),[6264] Toxocara (0.0157),[207244] Anaerostipes (0.0157)
Monounsaturated Fats,diets,Type 2,[1239] Bacillota (0.1018),[200643] Bacteroidia (0.1018),[201174] Actinomycetota (-0.1018),[1678] Bifidobacterium (-0.0072),[572511] Blautia (0.0),[186807] Peptococcaceae (-0.0),[1532] Blautia coccoides (0.0),[375288] Parabacteroides (0.0),[543] Enterobacteriaceae (0.0),[838] Prevotella (0.0),[142587] Isobaculum (-0.0),[191303] Turicibacter (0.0),[76008] Fusibacter (0.0),[70992] Flexithrix (0.0),,,,,,,,,,,,,,,,
Resistant Starch Type 3,diets,Type 2,[40518] Ruminococcus bromii (0.0072),[841] Roseburia (0.0072),[1263] Ruminococcus (0.0072),[572511] Blautia (-0.0072),[301302] Roseburia faecis (0.0072),[39491] Agathobacter rectalis (0.0072),[853] Faecalibacterium prausnitzii (0.0072),,,,,,,,,,,,,,,,,,,,,,,
