Name,Collection,Type,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Korean Red Ginseng,diets,Type 2,[1224] Pseudomonadota (-0.0365),[171549] Bacteroidales (-0.034),[33024] Phascolarctobacterium (0.034),[102106] Collinsella (0.017),[1716] Corynebacterium (0.017),[1473205] Senegalimassilia (0.017),[547] Enterobacter (0.017),[848] Fusobacterium (-0.017),[212719] Piliocolobus badius lymphocryptovirus 1 (0.017),[239934] Akkermansia (-0.017),[3025755] Thomasclavelia (-0.017),[1350] Enterococcus (0.017),[1578] Lactobacillus (0.017),[1516129] Candidatus Saccharibacteria bacterium UB2523 (0.017),[Pathogen] Vibrio vulnificus (-0.017),[46255] Weissella (0.017),[1357] Lactococcus (0.017),[1783273] Patescibacteria group (0.017),[74201] Verrucomicrobiota (-0.017),[203491] Fusobacteriales (-0.017),[662] Vibrio (-0.017),[171552] Prevotellaceae (-0.017),[570] Klebsiella (-0.017),[186803] Lachnospiraceae (-0.017),[33042] Coprococcus (-0.017),[1432051] Eisenbergiella (0.017),[397864] Barnesiella (0.017),[216572] Oscillospiraceae (0.017),[135858] Catenibacterium (0.017),
Non-Seafood Diet,diets,Type 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermented Red Ginseng,diets,Type 2,[28050] Lachnospira (0.0409),[40520] Blautia obeum (-0.0204),[80840] Burkholderiales (0.0204),[1769710] Sellimonas (-0.0204),[216851] Faecalibacterium (0.0204),[171551] Porphyromonadaceae (0.0204),[375288] Parabacteroides (0.0204),[995019] Sutterellaceae (0.0204),[823] Parabacteroides distasonis (0.0204),[28216] Betaproteobacteria (0.0204),,,,,,,,,,,,,,,,,,,,
Avocado,diets,Type 2,[216851] Faecalibacterium (0.0073),[841] Roseburia (-0.0073),[28050] Lachnospira (0.0073),[1263] Ruminococcus (-0.0073),[239759] Alistipes (0.0073),[31977] Veillonellaceae (0.005),[171552] Prevotellaceae (0.005),[995019] Sutterellaceae (0.005),[35829] Acetivibrio (0.005),[39948] Dialister (0.005),[40544] Sutterella (0.005),[2316] Methanosphaera (-0.005),[216572] Oscillospiraceae (0.005),[35832] Bilophila (0.005),[1573535] Holdemanella (0.005),[963] Herbaspirillum (0.005),,,,,,,,,,,,,,
Magnesium,diets,Type 2,[1678] Bifidobacterium (-0.0385),[31953] Bifidobacteriaceae (-0.0385),[85004] Bifidobacteriales (-0.0385),[201174] Actinomycetota (-0.0279),[165179] Segatella copri (0.0224),[39496] Eubacterium ventriosum (0.0224),[116085] Coprococcus catus (0.0224),[100886] Catenibacterium mitsuokai (0.0224),[40520] Blautia obeum (0.0224),[39486] Dorea formicigenerans (0.0224),[638849] Pyramidobacter piscolens (0.0224),[89153] [Clostridium] hylemonae (0.0224),[28127] Hoylesella buccalis (0.0224),[1239] Bacillota (0.0107),[200643] Bacteroidia (-0.0107),[1224] Pseudomonadota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[29465] Veillonella (0.0103),[40545] Sutterella wadsworthensis (0.0103),[301301] Roseburia hominis (0.0103),[35493] Streptophyta (0.0103),[515620] [Eubacterium] eligens ATCC 27750 (0.0103),[1535] [Clostridium] leptum (-0.0103),[74426] Collinsella aerofaciens (-0.0103),,,,,,
High-Carbohydrate/Low-Fat Diet,diets,Type 2,[1678] Bifidobacterium (0.0121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaxseed,diets,Type 2,[186803] Lachnospiraceae (0.0206),[1263] Ruminococcus (0.0206),[990721] Christensenella (0.0206),[838] Prevotella (0.0206),[1506553] Lachnoclostridium (-0.0205),[1578] Lactobacillus (0.0205),[1508657] Ruminiclostridium (0.0205),[172900] Victivallis (0.0205),[283168] Odoribacter (-0.0205),[1473205] Senegalimassilia (0.0205),[848] Fusobacterium (-0.0205),[570] Klebsiella (0.0205),[638847] Pyramidobacter (-0.0166),[46228] [Ruminococcus] lactaris (-0.0058),[853] Faecalibacterium prausnitzii (-0.0058),[1239] Bacillota (-0.0038),[28090] Acinetobacter lwoffii (0.0038),[286] Pseudomonas (0.0038),[572511] Blautia (0.0038),[169135] Ruminococcus sp. 16442 (0.0038),[469] Acinetobacter (0.0038),[301301] Roseburia hominis (0.0038),[1501226] Romboutsia (-0.0038),[841] Roseburia (0.0038),[216851] Faecalibacterium (-0.0038),[508458] Synergistota (0.0038),[47878] Pseudomonas azotoformans (0.0038),[40520] Blautia obeum (0.0038),[638849] Pyramidobacter piscolens (0.0038),[186802] Eubacteriales (0.0038)
Probiotics Containing _Lactobacillus Johnsonii_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic Beverages,diets,Type 2,[310297] Phocaeicola plebeius (0.0167),[416586] Selenomonas bovis (-0.0167),[106588] Pseudoflavonifractor capillosus (0.0167),[816] Bacteroides (0.0167),[1017280] Pseudoflavonifractor (0.0167),[970] Selenomonas (-0.0167),[328812] Parabacteroides goldsteinii (0.0103),[1301] Streptococcus (0.0103),,,,,,,,,,,,,,,,,,,,,,
Riboflavin,diets,Type 2,[200643] Bacteroidia (-0.0223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prebiotic Treatment,diets,Type 2,[1678] Bifidobacterium (0.0207),[204441] Rhodospirillales (0.0114),[1357] Lactococcus (0.0114),[186803] Lachnospiraceae (0.0114),[1766253] Agathobacter (0.0114),[1407607] Fusicatenibacter (-0.0114),[1301] Streptococcus (-0.0114),[239934] Akkermansia (0.0114),[1283313] Alloprevotella (0.0114),[33039] [Ruminococcus] torques (-0.0114),[1578] Lactobacillus (-0.0114),[838] Prevotella (0.0114),[816] Bacteroides (-0.0114),[171552] Prevotellaceae (0.0114),[200643] Bacteroidia (-0.0112),[1239] Bacillota (-0.0112),,,,,,,,,,,,,,
Resistant Starch,diets,Type 2,[1678] Bifidobacterium (0.0287),[200643] Bacteroidia (0.0221),[204475] Gemmiger (0.0204),[1263] Ruminococcus (0.0204),[186803] Lachnospiraceae (-0.0157),[135858] Catenibacterium (-0.0157),[438033] Ruminococcus gauvreauii (-0.0157),[1501226] Romboutsia (-0.0157),[1161942] Ruminococcus champanellensis (-0.0157),[841] Roseburia (0.0157),[33042] Coprococcus (-0.0157),[39948] Dialister (-0.0157),[186801] Clostridia (-0.0157),[40518] Ruminococcus bromii (0.0136),[189330] Dorea (-0.0127),[515620] [Eubacterium] eligens ATCC 27750 (-0.0102),[33024] Phascolarctobacterium (-0.0102),[572511] Blautia (-0.0102),[816] Bacteroides (-0.0102),[39485] Lachnospira eligens (-0.0102),[1573535] Holdemanella (-0.0102),[1506553] Lachnoclostridium (-0.0102),[207244] Anaerostipes (-0.0102),[3068309] Ruminococcaceae bacterium UCG-005 (0.0102),[577309] Paraprevotella (-0.0102),[216572] Oscillospiraceae (0.0094),[41200] Bifidobacterium sp. (0.0072),[214856] Alistipes finegoldii (0.0072),[1872444] Alistipes sp. (0.0072),[1971605] Faecalibacterium sp. (0.0072)
Thiamine,diets,Type 2,[186803] Lachnospiraceae (0.0),[158846] Megamonas (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Protein,diets,Type 2,[2316020] Mediterraneibacter (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Supplementation,diets,Type 2,[189330] Dorea (-0.1476),[74426] Collinsella aerofaciens (-0.1476),[40518] Ruminococcus bromii (-0.1476),[1678] Bifidobacterium (0.1476),[853] Faecalibacterium prausnitzii (-0.1418),[1239] Bacillota (-0.0113),[200643] Bacteroidia (0.0113),[1591] Lactobacillus sp. (-0.0058),[39488] Anaerobutyricum hallii (0.0058),[816] Bacteroides (-0.0058),,,,,,,,,,,,,,,,,,,,
Tea,diets,Type 2,[116085] Coprococcus catus (0.0078),[102106] Collinsella (0.0078),[28116] Bacteroides ovatus (-0.0078),[84107] Coriobacteriaceae (0.0078),[1263] Ruminococcus (0.0078),[74426] Collinsella aerofaciens (0.0078),[283168] Odoribacter (0.0078),[84999] Coriobacteriales (0.0078),[33042] Coprococcus (0.0078),[39486] Dorea formicigenerans (0.0078),[84998] Coriobacteriia (0.0078),[119852] Oscillospira (0.0078),,,,,,,,,,,,,,,,,,
Sardine,diets,Type 2,[1239] Bacillota (-0.0),[562] Escherichia coli (0.0),[816] Bacteroides (0.0),[838] Prevotella (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,
Low-Fat Diet,diets,Type 2,[572511] Blautia (0.1476),[216851] Faecalibacterium (0.1476),[853] Faecalibacterium prausnitzii (0.0132),[Probiotic] Akkermansia muciniphila (0.0132),[225084] Erysipelothrix inopinata (-0.0112),[626929] Bacteroides clarus (-0.0112),[990719] Christensenellaceae (0.0111),[186807] Peptococcaceae (0.0111),[2740] Peptococcus (0.0111),[91061] Bacilli (0.0111),[1300] Streptococcaceae (0.0111),[2518971] Duncaniella dubosii (0.0111),[186826] Lactobacillales (0.0111),[1501391] Alistipes inops (0.0111),[1301] Streptococcus (0.0111),[2049040] Roseburia sp. (0.0111),[990721] Christensenella (0.0111),,,,,,,,,,,,,
Sodium,diets,Type 2,[201174] Actinomycetota (0.0107),[200643] Bacteroidia (0.0107),[1224] Pseudomonadota (0.0107),[95818] Candidatus Saccharibacteria (-0.0107),[1239] Bacillota (0.0107),[28050] Lachnospira (-0.0041),[46506] Bacteroides stercoris (0.0),,,,,,,,,,,,,,,,,,,,,,,
Protein Supplements,diets,Type 1,[946234] Flavonifractor (0.0223),[1407607] Fusicatenibacter (0.0223),[572511] Blautia (0.0223),[1301] Streptococcus (-0.0223),[1378] Gemella (0.0223),[904] Acidaminococcus (0.0223),[841] Roseburia (0.0223),[186803] Lachnospiraceae (0.0223),[1263] Ruminococcus (0.0223),[29465] Veillonella (0.0223),[1253] Pediococcus (-0.0223),[31977] Veillonellaceae (0.0223),[216851] Faecalibacterium (0.0223),[1350] Enterococcus (-0.0223),[1578] Lactobacillus (0.0223),[539002] Bacillales incertae sedis (0.0223),,,,,,,,,,,,,,
Chicory Inulin,diets,Type 2,[Probiotic] Bifidobacterium bifidum (0.0242),[1680] Bifidobacterium adolescentis (0.0242),[Probiotic] Bifidobacterium longum (0.0242),[649756] Anaerostipes hadrus (0.0242),,,,,,,,,,,,,,,,,,,,,,,,,,
Flourine,diets,Type 2,[1239] Bacillota (0.0107),[1117] Cyanobacteriota (-0.0107),[200643] Bacteroidia (-0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),,,,,,,,,,,,,,,,,,,,,,,,
Calcium,diets,Type 2,[1224] Pseudomonadota (0.0107),[200643] Bacteroidia (-0.0107),[95818] Candidatus Saccharibacteria (0.0107),[201174] Actinomycetota (0.0107),[1117] Cyanobacteriota (0.0107),[1239] Bacillota (0.0107),[218538] Dialister invisus (0.0103),[729] Haemophilus parainfluenzae (0.0103),[357276] Phocaeicola dorei (0.0103),[649756] Anaerostipes hadrus (-0.0103),,,,,,,,,,,,,,,,,,,,
Tart Cherry Juice,diets,Type 2,[216851] Faecalibacterium (-0.0185),[1263] Ruminococcus (0.0185),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fried Meat,diets,Type 2,[946234] Flavonifractor (-0.0741),[29465] Veillonella (0.0741),[189330] Dorea (0.0741),[186803] Lachnospiraceae (-0.0741),[39948] Dialister (0.0741),,,,,,,,,,,,,,,,,,,,,,,,,
Resistant Starch Type 2 Supplementation,diets,Type 2,[1263] Ruminococcus (0.0204),[204475] Gemmiger (0.0204),[1501226] Romboutsia (-0.0157),[135858] Catenibacterium (-0.0157),[33042] Coprococcus (-0.0157),[841] Roseburia (0.0157),[39948] Dialister (-0.0157),[216572] Oscillospiraceae (0.0157),[438033] Ruminococcus gauvreauii (-0.0157),[200643] Bacteroidia (0.0157),[186803] Lachnospiraceae (-0.0157),[186801] Clostridia (-0.0157),[1161942] Ruminococcus champanellensis (-0.0157),[515620] [Eubacterium] eligens ATCC 27750 (-0.0102),[1573535] Holdemanella (-0.0102),[577309] Paraprevotella (-0.0102),[33024] Phascolarctobacterium (-0.0102),[39485] Lachnospira eligens (-0.0102),[207244] Anaerostipes (-0.0102),[816] Bacteroides (-0.0102),[1506553] Lachnoclostridium (-0.0102),[3068309] Ruminococcaceae bacterium UCG-005 (0.0102),[572511] Blautia (-0.0102),[189330] Dorea (-0.0063),[39491] Agathobacter rectalis (0.0063),[40518] Ruminococcus bromii (0.0063),,,,
Low Moderate-to-Vigorous Physical Activity,lifestyles,Type 2,[543] Enterobacteriaceae (0.0088),[1737406] Tissierellaceae (0.0088),[28050] Lachnospira (-0.0088),[189330] Dorea (-0.0088),[171549] Bacteroidales (-0.0088),[91347] Enterobacterales (0.0088),,,,,,,,,,,,,,,,,,,,,,,,
Fructose,diets,Type 2,[1301] Streptococcus (-0.0325),[1730] Eubacterium (-0.0325),[Probiotic] Streptococcus thermophilus (-0.0325),[39485] Lachnospira eligens (-0.0325),,,,,,,,,,,,,,,,,,,,,,,,,,
Probiotics Containing _Latilactobacillus Sakei_,diets,Type Probiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buttermilk,diets,Type 2,[1678] Bifidobacterium (0.148),[2040332] Dorea sp. (-0.148),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron,diets,Type 2,[1678] Bifidobacterium (0.1476),[189330] Dorea (-0.1476),[40518] Ruminococcus bromii (-0.1476),[74426] Collinsella aerofaciens (-0.1476),[853] Faecalibacterium prausnitzii (-0.1418),[1505652] Terrisporobacter (0.0385),[1906119] Candidatus Gastranaerophilales (0.0385),[1798710] Candidatus Melainabacteria (0.0385),[Pathogen] Shigella (0.0385),[561] Escherichia (0.0385),[543] Enterobacteriaceae (0.0385),[1224] Pseudomonadota (0.0107),[201174] Actinomycetota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[1535] [Clostridium] leptum (-0.0103),[39488] Anaerobutyricum hallii (0.0058),[816] Bacteroides (-0.0058),[1591] Lactobacillus sp. (-0.0058),[28050] Lachnospira (-0.0041),[1239] Bacillota (-0.0006),[200643] Bacteroidia (0.0006),[1263] Ruminococcus (0.0),[102106] Collinsella (0.0),[1578] Lactobacillus (-0.0),[292632] Subdoligranulum (0.0),,,,,
Broccoli,diets,Type 2,[1239] Bacillota (-0.0185),[816] Bacteroides (0.0185),[200643] Bacteroidia (0.0185),,,,,,,,,,,,,,,,,,,,,,,,,,,
Folate,diets,Type 2,[Probiotic] Bifidobacterium bifidum (-0.0103),[74426] Collinsella aerofaciens (-0.0103),[29465] Veillonella (0.0103),[838] Prevotella (0.0072),[841] Roseburia (0.0072),,,,,,,,,,,,,,,,,,,,,,,,,
Bamboo Shoots,diets,Type 2,[561] Escherichia (0.0036),[848] Fusobacterium (0.0036),[397864] Barnesiella (-0.0036),,,,,,,,,,,,,,,,,,,,,,,,,,,
Monosaccharides,diets,Type 2,[1730] Eubacterium (-0.1476),[189330] Dorea (-0.1476),[574697] Butyricimonas (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
Processed Meats,diets,Type 2,[189330] Dorea (-0.0216),[375288] Parabacteroides (0.0216),[2316020] Mediterraneibacter (-0.0216),[841] Roseburia (-0.0216),,,,,,,,,,,,,,,,,,,,,,,,,,
Seaweed,diets,Type 2,[816] Bacteroides (0.0),[1239] Bacillota (0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fermented Oat Milk,diets,Type 2,[1578] Lactobacillus (0.0204),[32066] Fusobacteriota (-0.0204),[1263] Ruminococcus (0.0204),[292632] Subdoligranulum (0.0204),[207244] Anaerostipes (-0.0204),,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin K,diets,Type 2,[1224] Pseudomonadota (-0.0107),[1117] Cyanobacteriota (-0.0107),[1239] Bacillota (0.0107),[200643] Bacteroidia (0.0107),[201174] Actinomycetota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[816] Bacteroides (-0.0013),[1678] Bifidobacterium (0.0013),[186826] Lactobacillales (0.0006),,,,,,,,,,,,,,,,,,,,,
Eggs,diets,Type 2,[52784] Anaerofilum (-0.0208),[1766253] Agathobacter (-0.0208),[39496] Eubacterium ventriosum (-0.0208),[1678] Bifidobacterium (0.0208),[543] Enterobacteriaceae (0.0208),[1470353] Candidatus Soleaferrea (-0.0208),[33043] Coprococcus eutactus (0.0103),[418240] Blautia wexlerae (-0.0103),[135622] Alteromonadales (-0.0097),[100884] Coprobacillus cateniformis (-0.0097),[100883] Coprobacillus (-0.0097),[186828] Carnobacteriaceae (-0.0097),[267890] Shewanellaceae (-0.0097),[38313] Shewanella algae (-0.0097),[3031852] Epsilonproteobacteria (-0.0097),[213849] Campylobacterales (-0.0097),[Pathogen] Campylobacter (-0.0097),[22] Shewanella (-0.0097),[72294] Campylobacteraceae (-0.0097),[2049024] Coprococcus sp. (-0.0097),,,,,,,,,,
Niacin,diets,Type 2,[171549] Bacteroidales (-0.0446),[200643] Bacteroidia (-0.0446),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (0.0107),[375288] Parabacteroides (-0.0032),[186803] Lachnospiraceae (0.0031),[216851] Faecalibacterium (0.0031),,,,,,,,,,,,,,,,,,,,,
Pulses,diets,Type 2,[363265] Leyella stercorea (0.0167),[28050] Lachnospira (-0.0),[1578] Lactobacillus (-0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactose,diets,Type 2,[1678] Bifidobacterium (0.1476),[201174] Actinomycetota (0.1476),[572511] Blautia (0.0011),,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin D Supplementation,diets,Type 2,[572511] Blautia (-0.1389),[244127] Anaerotruncus (-0.1265),[119852] Oscillospira (-0.1184),[1239] Bacillota (0.1119),[29465] Veillonella (-0.0335),[194924] Desulfovibrionaceae (-0.0325),[Probiotic] Bifidobacterium longum (0.0325),[410072] Coprococcus comes (0.0325),[Probiotic] Streptococcus salivarius (0.0325),[88431] Dorea longicatena (0.0325),[84107] Coriobacteriaceae (0.0325),[239759] Alistipes (0.0244),[1357] Lactococcus (0.0224),[33024] Phascolarctobacterium (0.0223),[283168] Odoribacter (-0.0214),[375288] Parabacteroides (0.0213),[28050] Lachnospira (0.0204),[128827] Erysipelotrichaceae (-0.019),[1816678] Christensenella timonensis (0.0179),[35517] [Eubacterium] brachy (-0.0179),[310298] Phocaeicola coprocola (-0.0179),[376806] Bacteroides gallinarum (0.0179),[55565] Actinomyces graevenitzii (-0.0179),[33968] Leuconostoc pseudomesenteroides (0.0179),[33031] Peptoniphilus lacrimalis (-0.0179),[995019] Sutterellaceae (0.0166),[561] Escherichia (-0.0166),[990719] Christensenellaceae (0.0166),[1678] Bifidobacterium (0.014),[239934] Akkermansia (0.0136)
Grape Pomace,diets,Type 2,[2840482] Coriobacteriaceae incertae sedis (-0.0),[577309] Paraprevotella (0.0),[1643826] Eggerthellaceae (-0.0),[1300] Streptococcaceae (0.0),[1582879] Ezakiella (-0.0),[162289] Peptoniphilus (-0.0),[1473205] Senegalimassilia (-0.0),,,,,,,,,,,,,,,,,,,,,,,
Red Meat,diets,Type 2,[72294] Campylobacteraceae (0.0144),[171549] Bacteroidales (0.0144),[1239] Bacillota (-0.0144),[200643] Bacteroidia (0.0144),[85007] Mycobacteriales (-0.0144),[84107] Coriobacteriaceae (-0.0144),[1313211] Lentisphaeria (0.0144),[186802] Eubacteriales (-0.0144),[278082] Victivallales (0.0144),[186803] Lachnospiraceae (-0.0144),[1653] Corynebacteriaceae (-0.0144),[256845] Lentisphaerota (0.0144),[186801] Clostridia (-0.0144),[213849] Campylobacterales (0.0144),[255528] Victivallaceae (0.0144),[84999] Coriobacteriales (-0.0144),[84998] Coriobacteriia (-0.0144),[29547] Campylobacterota (0.0144),[815] Bacteroidaceae (0.0144),[171551] Porphyromonadaceae (0.0144),[186804] Peptostreptococcaceae (-0.0144),[1506] Clostridium sp. (-0.0063),,,,,,,,
High-Fiber Foods,diets,Type 2,[853] Faecalibacterium prausnitzii (0.1476),[818] Bacteroides thetaiotaomicron (-0.1476),[186802] Eubacteriales (0.1476),[194924] Desulfovibrionaceae (0.0548),[1678] Bifidobacterium (-0.0548),[216572] Oscillospiraceae (-0.0548),[216851] Faecalibacterium (-0.0548),[841] Roseburia (-0.0548),[1578] Lactobacillus (-0.0398),[118747] Bulleidia (-0.0),[572511] Blautia (-0.0),[2172] Methanobrevibacter (0.0),[189330] Dorea (0.0),,,,,,,,,,,,,,,,,
Polyunsaturated Fats,diets,Type 2,[84086] unclassified Bacillota (-0.1018),[1752188] unclassified Actinomycetota (0.1018),[33024] Phascolarctobacterium (-0.0325),[909930] Acidaminococcaceae (-0.0325),[1224] Pseudomonadota (0.0107),[200643] Bacteroidia (-0.0107),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (0.0107),[201174] Actinomycetota (0.0107),[1117] Cyanobacteriota (-0.0107),[459786] Oscillibacter (0.0001),[2163168] Kineothrix (0.0001),[1392389] Intestinimonas (0.0001),,,,,,,,,,,,,,,,,
Bland Diet,diets,Type 2,[171550] Rikenellaceae (0.0072),[283168] Odoribacter (0.0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,
High-Fiber Diet,diets,Type 2,[200643] Bacteroidia (0.0311),[1239] Bacillota (0.0107),[95818] Candidatus Saccharibacteria (-0.0107),[1117] Cyanobacteriota (-0.0107),[201174] Actinomycetota (0.0107),[1224] Pseudomonadota (-0.0107),[544448] Mycoplasmatota (0.0088),[2005519] Barnesiellaceae (-0.0088),[1263] Ruminococcus (-0.0088),[28211] Alphaproteobacteria (-0.0088),[207244] Anaerostipes (0.0051),[1407607] Fusicatenibacter (0.0051),[239759] Alistipes (-0.0),,,,,,,,,,,,,,,,,
Gallocatechin,diets,Type 2,[1654] Actinomyces (0.0409),[84998] Coriobacteriia (-0.0409),[2049] Actinomycetaceae (0.0409),,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium-Chain Triglycerides-Diet,diets,Type 2,[841] Roseburia (-0.0008),[572511] Blautia (0.0008),[28050] Lachnospira (-0.0008),[1407607] Fusicatenibacter (0.0008),[816] Bacteroides (-0.0008),,,,,,,,,,,,,,,,,,,,,,,,,
Psyllium Husk Fiber,diets,Type 2,[1224] Pseudomonadota (-0.0138),[186801] Clostridia (0.0138),[543] Enterobacteriaceae (-0.0138),[203557] Verrucomicrobiaceae (-0.0138),[544448] Mycoplasmatota (0.0138),[821] Phocaeicola vulgatus (-0.0138),[91347] Enterobacterales (-0.0138),[508458] Synergistota (-0.0138),[216572] Oscillospiraceae (0.0138),[28890] Euryarchaeota (0.0138),[186802] Eubacteriales (0.0138),[32066] Fusobacteriota (-0.0138),[57723] Acidobacteriota (-0.0138),,,,,,,,,,,,,,,,,
